"NO.","FUNC","DATA","UNIT","TIME"
387,"TYPE T","OL/98.6","K","2024/10/25\12:34:48"
388,"TYPE T","OL/98.5","K","2024/10/25\12:34:49"
389,"TYPE T","OL/98.5","K","2024/10/25\12:34:49"
390,"TYPE T","OL/98.5","K","2024/10/25\12:34:50"
391,"TYPE T","OL/98.5","K","2024/10/25\12:34:51"
392,"TYPE T","OL/98.5","K","2024/10/25\12:34:51"
393,"TYPE T","OL/98.5","K","2024/10/25\12:34:52"
394,"TYPE T","OL/98.4","K","2024/10/25\12:34:52"
395,"TYPE T","OL/98.4","K","2024/10/25\12:34:53"
396,"TYPE T","OL/98.4","K","2024/10/25\12:34:54"
397,"TYPE T","OL/98.4","K","2024/10/25\12:34:54"
398,"TYPE T","OL/98.4","K","2024/10/25\12:34:55"
399,"TYPE T","OL/98.3","K","2024/10/25\12:34:55"
400,"TYPE T","OL/98.3","K","2024/10/25\12:34:56"
401,"TYPE T","OL/98.3","K","2024/10/25\12:34:57"
402,"TYPE T","OL/98.3","K","2024/10/25\12:34:57"
403,"TYPE T","OL/98.3","K","2024/10/25\12:34:58"
404,"TYPE T","OL/98.3","K","2024/10/25\12:34:58"
405,"TYPE T","OL/98.3","K","2024/10/25\12:34:59"
406,"TYPE T","OL/98.3","K","2024/10/25\12:35:00"
407,"TYPE T","OL/98.3","K","2024/10/25\12:35:00"
408,"TYPE T","OL/98.3","K","2024/10/25\12:35:01"
409,"TYPE T","OL/98.3","K","2024/10/25\12:35:01"
410,"TYPE T","OL/98.3","K","2024/10/25\12:35:02"
411,"TYPE T","OL/98.3","K","2024/10/25\12:35:03"
412,"TYPE T","OL/98.2","K","2024/10/25\12:35:03"
413,"TYPE T","OL/98.2","K","2024/10/25\12:35:04"
414,"TYPE T","OL/98.2","K","2024/10/25\12:35:04"
415,"TYPE T","OL/98.2","K","2024/10/25\12:35:05"
416,"TYPE T","OL/98.2","K","2024/10/25\12:35:05"
417,"TYPE T","OL/98.2","K","2024/10/25\12:35:06"
418,"TYPE T","OL/98.1","K","2024/10/25\12:35:07"
419,"TYPE T","OL/98.1","K","2024/10/25\12:35:07"
420,"TYPE T","OL/98.1","K","2024/10/25\12:35:08"
421,"TYPE T","OL/98.1","K","2024/10/25\12:35:08"
422,"TYPE T","OL/98.2","K","2024/10/25\12:35:09"
423,"TYPE T","OL/98.1","K","2024/10/25\12:35:10"
424,"TYPE T","OL/98.1","K","2024/10/25\12:35:10"
425,"TYPE T","OL/98.1","K","2024/10/25\12:35:11"
426,"TYPE T","OL/98.1","K","2024/10/25\12:35:11"
427,"TYPE T","OL/98.1","K","2024/10/25\12:35:12"
428,"TYPE T","OL/98.0","K","2024/10/25\12:35:13"
429,"TYPE T","OL/98.0","K","2024/10/25\12:35:13"
430,"TYPE T","OL/98.0","K","2024/10/25\12:35:14"
431,"TYPE T","OL/98.0","K","2024/10/25\12:35:14"
