"NO.","FUNC","DATA","UNIT","TIME"
339,"TYPE T","OL/300.2","K","2024/10/25\9:10:59"
340,"TYPE T","OL/300.2","K","2024/10/25\9:11:00"
341,"TYPE T","OL/300.2","K","2024/10/25\9:11:01"
342,"TYPE T","OL/300.2","K","2024/10/25\9:11:01"
343,"TYPE T","OL/300.3","K","2024/10/25\9:11:02"
344,"TYPE T","OL/300.3","K","2024/10/25\9:11:02"
345,"TYPE T","OL/300.3","K","2024/10/25\9:11:03"
346,"TYPE T","OL/300.3","K","2024/10/25\9:11:04"
347,"TYPE T","OL/300.3","K","2024/10/25\9:11:04"
348,"TYPE T","OL/300.3","K","2024/10/25\9:11:05"
349,"TYPE T","OL/300.3","K","2024/10/25\9:11:05"
350,"TYPE T","OL/300.3","K","2024/10/25\9:11:06"
351,"TYPE T","OL/300.3","K","2024/10/25\9:11:07"
352,"TYPE T","OL/300.3","K","2024/10/25\9:11:07"
353,"TYPE T","OL/300.3","K","2024/10/25\9:11:08"
354,"TYPE T","OL/300.3","K","2024/10/25\9:11:08"
355,"TYPE T","OL/300.3","K","2024/10/25\9:11:09"
356,"TYPE T","OL/300.3","K","2024/10/25\9:11:10"
357,"TYPE T","OL/300.3","K","2024/10/25\9:11:10"
358,"TYPE T","OL/300.3","K","2024/10/25\9:11:11"
359,"TYPE T","OL/300.3","K","2024/10/25\9:11:11"
360,"TYPE T","OL/300.3","K","2024/10/25\9:11:12"
361,"TYPE T","OL/300.3","K","2024/10/25\9:11:12"
362,"TYPE T","OL/300.3","K","2024/10/25\9:11:13"
363,"TYPE T","OL/300.3","K","2024/10/25\9:11:14"
364,"TYPE T","OL/300.3","K","2024/10/25\9:11:14"
365,"TYPE T","OL/300.3","K","2024/10/25\9:11:15"
366,"TYPE T","OL/300.3","K","2024/10/25\9:11:15"
367,"TYPE T","OL/300.3","K","2024/10/25\9:11:16"
368,"TYPE T","OL/300.3","K","2024/10/25\9:11:17"
369,"TYPE T","OL/300.3","K","2024/10/25\9:11:17"
370,"TYPE T","OL/300.3","K","2024/10/25\9:11:18"
371,"TYPE T","OL/300.3","K","2024/10/25\9:11:18"
372,"TYPE T","OL/300.3","K","2024/10/25\9:11:19"
373,"TYPE T","OL/300.3","K","2024/10/25\9:11:20"
374,"TYPE T","OL/300.3","K","2024/10/25\9:11:20"
375,"TYPE T","OL/300.3","K","2024/10/25\9:11:21"
376,"TYPE T","OL/300.3","K","2024/10/25\9:11:21"
377,"TYPE T","OL/300.3","K","2024/10/25\9:11:22"
378,"TYPE T","OL/300.3","K","2024/10/25\9:11:22"
379,"TYPE T","OL/300.3","K","2024/10/25\9:11:23"
380,"TYPE T","OL/300.3","K","2024/10/25\9:11:24"
381,"TYPE T","OL/300.2","K","2024/10/25\9:11:24"
382,"TYPE T","OL/300.2","K","2024/10/25\9:11:25"
383,"TYPE T","OL/300.2","K","2024/10/25\9:11:25"
384,"TYPE T","OL/300.2","K","2024/10/25\9:11:26"
385,"TYPE T","OL/300.2","K","2024/10/25\9:11:27"
386,"TYPE T","OL/300.2","K","2024/10/25\9:11:27"
387,"TYPE T","OL/300.2","K","2024/10/25\9:11:28"
388,"TYPE T","OL/300.2","K","2024/10/25\9:11:28"
389,"TYPE T","OL/300.2","K","2024/10/25\9:11:29"
390,"TYPE T","OL/300.2","K","2024/10/25\9:11:30"
391,"TYPE T","OL/300.2","K","2024/10/25\9:11:30"
392,"TYPE T","OL/300.2","K","2024/10/25\9:11:31"
393,"TYPE T","OL/300.3","K","2024/10/25\9:11:31"
394,"TYPE T","OL/300.3","K","2024/10/25\9:11:32"
395,"TYPE T","OL/300.3","K","2024/10/25\9:11:33"
396,"TYPE T","OL/300.3","K","2024/10/25\9:11:33"
397,"TYPE T","OL/300.3","K","2024/10/25\9:11:34"
398,"TYPE T","OL/300.3","K","2024/10/25\9:11:34"
399,"TYPE T","OL/300.3","K","2024/10/25\9:11:35"
400,"TYPE T","OL/300.3","K","2024/10/25\9:11:35"
401,"TYPE T","OL/300.3","K","2024/10/25\9:11:36"
402,"TYPE T","OL/300.3","K","2024/10/25\9:11:37"
403,"TYPE T","OL/300.3","K","2024/10/25\9:11:37"
404,"TYPE T","OL/300.3","K","2024/10/25\9:11:38"
405,"TYPE T","OL/300.3","K","2024/10/25\9:11:38"
406,"TYPE T","OL/300.3","K","2024/10/25\9:11:39"
407,"TYPE T","OL/300.3","K","2024/10/25\9:11:40"
408,"TYPE T","OL/300.3","K","2024/10/25\9:11:40"
409,"TYPE T","OL/300.3","K","2024/10/25\9:11:41"
410,"TYPE T","OL/300.3","K","2024/10/25\9:11:41"
411,"TYPE T","OL/300.3","K","2024/10/25\9:11:42"
412,"TYPE T","OL/300.3","K","2024/10/25\9:11:43"
413,"TYPE T","OL/300.3","K","2024/10/25\9:11:43"
414,"TYPE T","OL/300.3","K","2024/10/25\9:11:44"
415,"TYPE T","OL/300.3","K","2024/10/25\9:11:44"
416,"TYPE T","OL/300.3","K","2024/10/25\9:11:45"
417,"TYPE T","OL/300.3","K","2024/10/25\9:11:46"
418,"TYPE T","OL/300.3","K","2024/10/25\9:11:46"
419,"TYPE T","OL/300.3","K","2024/10/25\9:11:47"
420,"TYPE T","OL/300.3","K","2024/10/25\9:11:47"
421,"TYPE T","OL/300.3","K","2024/10/25\9:11:48"
422,"TYPE T","OL/300.3","K","2024/10/25\9:11:48"
423,"TYPE T","OL/300.3","K","2024/10/25\9:11:49"
424,"TYPE T","OL/300.3","K","2024/10/25\9:11:50"
425,"TYPE T","OL/300.3","K","2024/10/25\9:11:50"
426,"TYPE T","OL/300.3","K","2024/10/25\9:11:51"
427,"TYPE T","OL/300.3","K","2024/10/25\9:11:51"
428,"TYPE T","OL/300.3","K","2024/10/25\9:11:52"
429,"TYPE T","OL/300.3","K","2024/10/25\9:11:53"
430,"TYPE T","OL/300.3","K","2024/10/25\9:11:53"
431,"TYPE T","OL/300.3","K","2024/10/25\9:11:54"
432,"TYPE T","OL/300.3","K","2024/10/25\9:11:54"
